time	V(vout)	V(n001)	V(n012)	V(n013)
1.627749962002089e-005	3.995959e+000	-1.000000e-001	-6.277499e-002	6.571977e-001
1.664749911338208e-005	3.995959e+000	-1.000000e-001	-6.647499e-002	5.824261e-001
1.700000000000000e-005	3.995959e+000	-1.000000e-001	-7.000000e-002	5.121283e-001
1.707399989867224e-005	3.995959e+000	-1.000000e-001	-7.074000e-002	4.976759e-001
1.722199969601671e-005	3.995959e+000	-1.000000e-001	-7.222000e-002	4.689434e-001
1.751799929070566e-005	3.995959e+000	-1.000000e-001	-7.517999e-002	4.122118e-001
1.800000000000000e-005	3.995959e+000	-1.000000e-001	-8.000000e-002	3.209423e-001
1.805919991893779e-005	3.995959e+000	-1.000000e-001	-8.059200e-002	3.099561e-001
1.817759975681337e-005	3.995959e+000	-1.000000e-001	-8.177600e-002	2.880779e-001
1.841439943256453e-005	3.995954e+000	-1.000000e-001	-8.414400e-002	2.447678e-001
1.888799878406685e-005	3.995920e+000	-1.000000e-001	-8.887999e-002	1.590947e-001
1.900000000000000e-005	3.995896e+000	-1.000000e-001	-9.000000e-002	1.390252e-001
1.909471987030047e-005	3.995702e+000	-1.000000e-001	-9.094720e-002	1.222790e-001
1.928415961090139e-005	3.991673e+000	-1.000000e-001	-9.284160e-002	8.897322e-002
1.962112051879814e-005	3.961550e+000	-1.000000e-001	-9.621120e-002	3.020879e-002
1.980020123921023e-005	3.890524e+000	-1.000000e-001	-9.800201e-002	-7.317449e-004
2.000000000000000e-005	3.727225e+000	-1.000000e-001	-1.000000e-001	-3.500082e-002
2.001997987607898e-005	3.694581e+000	-1.000000e-001	-1.000000e-001	-3.840309e-002
2.005993962823693e-005	3.624102e+000	-1.000000e-001	-1.000000e-001	-4.518910e-002
2.013985913255283e-005	3.464481e+000	-1.000000e-001	-1.000000e-001	-5.866203e-002
2.025738237891206e-005	3.198886e+000	-1.000000e-001	-1.000000e-001	-7.821596e-002
2.038733736745242e-005	2.874191e+000	-1.000000e-001	-1.000000e-001	-9.932420e-002
2.064115642121288e-005	2.199816e+000	-1.000000e-001	-1.000000e-001	-1.391153e-001
2.094293341318598e-005	1.378067e+000	-1.000000e-001	-1.000000e-001	-1.848522e-001
2.100000000000000e-005	1.221378e+000	-1.000000e-001	-1.000000e-001	-1.932595e-001
2.103862619686831e-005	1.115132e+000	-1.000000e-001	-1.000000e-001	-1.987883e-001
2.111587859060493e-005	9.026464e-001	-1.000000e-001	-1.000000e-001	-2.097299e-001
2.127038337807817e-005	4.776695e-001	-1.000000e-001	-1.000000e-001	-2.310599e-001
2.157939295302464e-005	-3.723109e-001	-1.000000e-001	-1.000000e-001	-2.719134e-001
2.200000000000000e-005	-1.529273e+000	-1.000000e-001	-1.000000e-001	-3.253152e-001
2.206180191498930e-005	-1.699273e+000	-1.000000e-001	-1.000000e-001	-3.326436e-001
2.218540574496789e-005	-2.039272e+000	-1.000000e-001	-1.000000e-001	-3.470593e-001
2.243261340492506e-005	-2.719268e+000	-1.000000e-001	-1.000000e-001	-3.750537e-001
2.267757633611027e-005	-3.370363e+000	-1.000000e-001	-1.000000e-001	-4.018462e-001
2.283187582099325e-005	-3.701246e+000	-1.000000e-001	-1.000000e-001	-4.181308e-001
2.297306254643756e-005	-3.895022e+000	-1.000000e-001	-1.000000e-001	-4.326521e-001
2.300000000000000e-005	-3.915141e+000	-1.000000e-001	-1.000000e-001	-4.353826e-001
2.301470004730100e-005	-3.922375e+000	-1.000000e-001	-1.000000e-001	-4.368544e-001
2.304410014190299e-005	-3.935133e+000	-1.000000e-001	-1.000000e-001	-4.397864e-001
2.310290033110699e-005	-3.953643e+000	-1.000000e-001	-1.000000e-001	-4.455943e-001
2.322050070951497e-005	-3.974725e+000	-1.000000e-001	-1.000000e-001	-4.570035e-001
2.341891019016407e-005	-3.990079e+000	-1.000000e-001	-1.000000e-001	-4.757523e-001
2.363795356678892e-005	-3.994927e+000	-1.000000e-001	-1.000000e-001	-4.956594e-001
2.398746185341677e-005	-3.996048e+000	-1.000000e-001	-1.000000e-001	-5.263364e-001
2.400000000000000e-005	-3.996013e+000	-1.000000e-001	-1.000000e-001	-5.274086e-001
2.402507629316645e-005	-3.995997e+000	-1.000000e-001	-1.000000e-001	-5.295045e-001
2.407522887949936e-005	-3.995982e+000	-1.000000e-001	-1.000000e-001	-5.336688e-001
2.417553405216517e-005	-3.995972e+000	-1.000000e-001	-1.000000e-001	-5.418644e-001
2.437614439749680e-005	-3.995963e+000	-1.000000e-001	-1.000000e-001	-5.577307e-001
2.477736508816005e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-5.882093e-001
2.500000000000000e-005	-3.995957e+000	-1.000000e-001	-1.000000e-001	-6.045173e-001
2.508024413813265e-005	-3.995958e+000	-1.000000e-001	-1.000000e-001	-6.100748e-001
2.524073241439795e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.209644e-001
2.556170896692856e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.418623e-001
2.600000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.692872e-001
2.606419531050612e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.730440e-001
2.619258593151836e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.804372e-001
2.644936717354285e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-6.946574e-001
2.696292965759181e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.219965e-001
2.700000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.239032e-001
2.707414068481639e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.275601e-001
2.722242205444917e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.347418e-001
2.751898479371473e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.485465e-001
2.800000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.700959e-001
2.805931254785311e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.725842e-001
2.817793764355933e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.774900e-001
2.841518783497178e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-7.869681e-001
2.888968821779667e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.052194e-001
2.900000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.093230e-001
2.909490007656498e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.126863e-001
2.928470022969494e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.192661e-001
2.966430053595485e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.319383e-001
3.000000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.427517e-001
3.007592006125198e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.450611e-001
3.022776018375595e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.496007e-001
3.053144042876388e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.583527e-001
3.100000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.713883e-001
3.106073604900159e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.729796e-001
3.118220814700476e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.761195e-001
3.142515234301110e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.821985e-001
3.191104073502379e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.939422e-001
3.200000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.960280e-001
3.209717767840254e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-8.982095e-001
3.229153303520761e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.024832e-001
3.268024374881777e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.107424e-001
3.300000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.173202e-001
3.307774214272203e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.188393e-001
3.323322642816610e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.218294e-001
3.354419499905422e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.276145e-001
3.400000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.358292e-001
3.406219371417763e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.368917e-001
3.418658114253287e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.389905e-001
3.443535599924337e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.430648e-001
3.493290571266436e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.509650e-001
3.500000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.520020e-001
3.509950994268420e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.534825e-001
3.529852982805260e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.563884e-001
3.569656959878940e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.620258e-001
3.600000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.662022e-001
3.607960795414736e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.672498e-001
3.623882386244208e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.693148e-001
3.655725567903152e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.733259e-001
3.700000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.787497e-001
3.706368636331789e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.794944e-001
3.719105908995366e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.809673e-001
3.744580454322521e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.838356e-001
3.795529544976831e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.894194e-001
3.800000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.898980e-001
3.808940910046339e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.908263e-001
3.826822730139017e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.926557e-001
3.862586370324374e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.962188e-001
3.900000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-9.998543e-001
