time	V(vout)	V(n001)	V(n012)	V(n013)
3.330000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.609382e+000
3.331920000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.612315e+000
3.339600000000001e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.623102e+000
3.340000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.623632e+000
3.350000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.635261e+000
3.351919999999999e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.637216e+000
3.359599999999995e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.644402e+000
3.360000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.644755e+000
3.370000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.652497e+000
3.371920000000025e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.653798e+000
3.379600000000125e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.658578e+000
3.380000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.658813e+000
3.390000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.663958e+000
3.391919999999401e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.664822e+000
3.399599999997003e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.667995e+000
3.400800000005996e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.668447e+000
3.410000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.671562e+000
3.411920000014389e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.672134e+000
3.419600000071943e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.674234e+000
3.420799999856115e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.674532e+000
3.430000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.676589e+000
3.431919999654677e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.676967e+000
3.439599998273382e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.678349e+000
3.440800003453237e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.678545e+000
3.450000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.679896e+000
3.451920008287768e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.680143e+000
3.459600041438840e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.681047e+000
3.460799917122320e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.681175e+000
3.470000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.682054e+000
3.471919801093569e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.682214e+000
3.479599005467843e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.682798e+000
